,RXCUI,ATC
778,104836,N06AF03
779,217567,R05CA03
780,1359581,A10AB06
781,210677,M03AC11
782,210249,A02AC01
783,210249,A12AA04
784,210249,A01AA01
785,210249,A12CD01
786,542720,C08CA05
787,105562,L01AA03
788,216814,D10AF07
789,216814,A01AB23
790,216814,J01AA08
791,668691,J05AF11
792,861505,D07AD01
793,897026,N07XX07
794,310352,D01AC15
795,310352,J02AC01
796,884684,N06BA02
797,351172,G04CB02
798,1007048,R01AA06
799,1007048,R01AB03
800,1007048,S01GA02
801,202661,B05AA07
802,1251806,R06AB06
803,1251806,N02BE01
804,1251806,R01BA02
805,141990,G01AD03
806,141990,S01XA15
807,141990,A11GA01
808,1116499,A01AC03
809,1116499,A07EA02
810,1116499,C05AA01
811,1116499,D07AA02
812,1116499,D07XA01
813,1116499,H02AB09
814,1116499,S01BA02
815,1116499,S01CB03
816,1116499,S02BA01
817,1116499,C05AD07
818,1116499,D04AB07
819,310599,A04AA02
820,858827,C03AA03
821,858827,C09AA02
822,353105,N06BA11
823,310006,A04AA04
824,309317,A09AB04
825,309317,A12BA02
826,309317,B05CB02
827,20814,S01EB09
828,1232418,J02AC02
829,218734,N07BA01
830,352052,R03AC02
831,352052,R03CC02
832,1292432,J07BK01
833,218661,A01AC02
834,218661,C05AA09
835,218661,D07AB19
836,218661,D07XB05
837,218661,D10AA03
838,218661,H02AB02
839,218661,R01AD03
840,218661,S01BA01
841,218661,S01CB01
842,218661,S02BA06
843,218661,S03BA01
844,218661,A01AB08
845,218661,A07AA01
846,218661,B05CA09
847,218661,D06AX04
848,218661,J01GB05
849,218661,R02AB01
850,218661,S01AA03
851,218661,S02AA07
852,218661,S03AA01
853,207112,D01AC15
854,207112,J02AC01
855,855642,D11AX18
856,855642,M01AB05
857,855642,M02AA15
858,855642,S01BC03
859,1995461,N06BA04
860,7456,V03AN04
861,1116514,A11CC05
862,883826,B02AA02
863,797065,A02BC01
864,237982,V04CC03
865,4328,N03AX26
866,4328,A08AA02
867,1807510,S01AA28
868,1807510,A07AA09
869,1807510,J01XA01
870,422998,D01AE12
871,422998,S01BC08
872,216734,A01AB22
873,216734,J01AA02
874,904442,N02AF02
875,141970,D10AF01
876,141970,G01AA10
877,141970,J01FF01
878,1602040,H05AA03
879,978573,C07AA15
880,978573,S01ED05
881,1734480,N01BB09
882,207014,M03BA03
883,327361,L04AB04
884,261439,G01AD02
885,261439,S02AA10
886,349594,N06BA09
887,1007782,G01AD03
888,1007782,S01XA15
889,1007782,A11GA01
890,995926,B03AA07
891,995926,B03AD03
892,48933,A01AC02
893,48933,C05AA09
894,48933,D07AB19
895,48933,D07XB05
896,48933,D10AA03
897,48933,H02AB02
898,48933,R01AD03
899,48933,S01BA01
900,48933,S01CB01
901,48933,S02BA06
902,48933,S03BA01
903,212405,N05AH03
904,82027,C02DB02
905,1869318,D03AX05
906,1869318,M09AX01
907,1869318,R01AX09
908,1869318,S01KA01
909,204844,J01FA10
910,204844,S01AA26
911,151890,C07AA05
912,1246822,D03AX05
913,1246822,M09AX01
914,1246822,R01AX09
915,1246822,S01KA01
916,850309,S01AE08
917,1811631,A01AD05
918,1811631,B01AC06
919,1811631,N02BA01
920,1811631,A02BC01
921,1658343,N05AX16
922,1592752,L01EX09
923,3108,D10AX05
924,3108,J04BA02
925,351503,B05BC02
926,351503,D02AE01
927,199090,B05BC02
928,199090,D02AE01
929,584428,B05BC02
930,584428,D02AE01
931,197365,N06AA17
932,198443,N02BE01
933,1359630,C01EB10
934,997226,N06DA02
935,905275,N04AA01
936,205074,A02AC01
937,205074,A12AA04
938,1665896,C10AX13
939,1251276,A03BB03
940,1251276,S01FA03
941,1251276,R01BA02
942,1115269,H03AA01
943,235426,N07AX01
944,235426,S01EB01
945,2191,J01DD02
946,6963,C01CA17
947,202653,A01AC03
948,202653,A07EA02
949,202653,C05AA01
950,202653,D07AA02
951,202653,D07XA01
952,202653,H02AB09
953,202653,S01BA02
954,202653,S01CB03
955,202653,S02BA01
956,1986329,N07XX13
957,1540669,C01BB01
958,1540669,C05AD01
959,1540669,D04AB01
960,1540669,N01BB02
961,1540669,R02AD02
962,1540669,S01HA07
963,1540669,S02DA01
964,1726440,L01XC24
965,897694,C08DA01
966,1008642,A07EA04
967,1008642,C05AA05
968,1008642,D07AC01
969,1008642,D07XC01
970,1008642,H02AB01
971,1008642,R01AD06
972,1008642,R03BA04
973,1008642,S01BA06
974,1008642,S01CB04
975,1008642,S02BA07
976,1008642,S03BA03
977,1008642,R06AA07
978,200133,N03AF01
979,860749,R06AA10
980,491666,N02BE01
981,491666,R05DA03
982,142034,D10AE01
983,1790508,J06BB01
984,1364441,B01AF02
985,404450,L04AX02
986,261287,N06AB03
987,19254,A07EA04
988,19254,C05AA05
989,19254,D07AC01
990,19254,D07XC01
991,19254,H02AB01
992,19254,R01AD06
993,19254,R03BA04
994,19254,S01BA06
995,19254,S01CB04
996,19254,S02BA07
997,19254,S03BA03
998,1012377,N01BB01
999,1012377,A01AD01
1000,1012377,B02BC09
1001,1012377,C01CA24
1002,1012377,R01AA14
1003,1012377,R03AA01
1004,1012377,S01EA01
1005,208493,N05AF04
1006,142436,N01AH01
1007,142436,N02AB03
1008,829502,M01AG01
1009,1112791,R05DA09
1010,1112791,R06AB04
1011,1112791,C01CA06
1012,1112791,R01AA04
1013,1112791,R01AB01
1014,1112791,R01BA03
1015,1112791,S01FB01
1016,1112791,S01GA05
1017,402095,J05AE08
1018,1367319,R05DA09
1019,1367319,R05CA03
1020,1433771,L03AA02
1021,486515,A12CA01
1022,486515,B05CB01
1023,486515,B05XA03
1024,209217,C01CA03
1025,10627,J01GB01
1026,10627,S01AA12
1027,311293,R01AC02
1028,311293,S01GX02
1029,1539990,R05CA03
1030,1657980,L04AC07
1031,317841,A11HA03
1032,476576,J01DD15
1033,1919083,L01EX10
